"index_no","property_address","bedrooms","bathrooms","agent_name","area_code","telephone","price","media_description","media_category_id","media_category_url","media_video_type","mls_number","property_type","building_stories","interior_size","exterior_size","agent_id","corporation_name","agent_position","org_name","org_address","org_id","org_type","org_ph_no","org_designation","prop_zone_type","prop_parking","prop_parking_space","prop_type","province_name","latitude","longitude","postcode"
345,"1585 Rue du Godendard|Drummondville, Quebec J2B7T5",NULL,NULL,"Steve Boisvert",819,4610475,65000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE&NoMLS=10211680&Lang=E",NULL,"10211680",NULL,NULL,NULL,NULL,2110878,NULL,"Residential Real Estate Broker","ROYAL LEPAGE AU SOMMET - Drummondville","450 rue Saint-Pierre |Drummondville, Quebec J2C3W1",294324,"Firm",4743134,"Real Estate Agency","Residential",NULL,NULL,"Vacant Land","Quebec","45.85109824","-72.36903191","J2B7T5"
159,"#4 1955 Northern Flicker Court,|Kelowna, British Columbia V1V0G2",2,3,"Mike Jamieson",604,3495780,849000,"VideoTourWebsite",2,"https://peak-exposure.aryeo.com/videos/b43fd4d8-a5e8-49ac-9568-b55aa6a555af","Other","10277296","House",NULL,"1225 sqft",NULL,2024001,NULL,NULL,"eXp Realty (Kelowna)","1631 Dickson Ave, Suite 1100|Kelowna, British Columbia V1Y0B5",284212,"Firm",8176506,NULL,NULL,"Attached Garage",2,"Single Family","British Columbia","49.983067","-119.4374","V1V0G2"
266,"2188 Peters Road,|West Kelowna, British Columbia V4T2C3",4,4,"Anthony Bastiaanssen",250,7188669,1075000,"VideoTourWebsite",2,"https://unbranded.youriguide.com/lvk21_2188_peters_rd_west_kelowna_bc/","iGuide","10277308","House",1,"2985 sqft",NULL,1616746,NULL,NULL,"Oakwyn Realty Ltd.","9 - 1310 Water Street|Kelowna, British Columbia V1Y9P3",291080,"Firm",6206788,NULL,NULL,"Attached Garage (2)",6,"Single Family","British Columbia","49.830177","-119.613571","V4T2C3"
314,"#116 1850 Shannon Lake Road,|West Kelowna, British Columbia V4T1L6",2,2,"Rebecca April",250,8595848,449900,"AlternateFeatureSheetWebsite",1,"https://rebeccaapril.remax-kelowna.ca/",NULL,"10277333","Manufactured Home/Mobile",1,"1624 sqft",NULL,1629922,NULL,NULL,"RE/MAX Kelowna","100 - 1553 Harvey Avenue|Kelowna, British Columbia V1Y6G1",47837,"Firm",7175000,NULL,NULL,"Carport (1)",4,"Single Family","British Columbia","49.865444","-119.591808","V4T1L6"
267,"3076 Quail Crescent,|Kelowna, British Columbia V1V2A1",3,4,"Kristen Tranfield",250,8781393,1150000,NULL,NULL,NULL,NULL,"10277376","House",NULL,"2880 sqft",NULL,2023333,NULL,NULL,"RE/MAX Kelowna - Stone Sisters","100-1553 Harvey Avenue|Kelowna, British Columbia V1Y6G1",286489,"Firm",8627675,NULL,NULL,"Attached Garage (2)",4,"Single Family","British Columbia","49.967945","-119.401396","V1V2A1"
316,"240 Pemberton Road,|Kelowna, British Columbia V1X3H4",4,3,"Sharon Black",250,8785533,699000,"VideoTourWebsite",2,"https://unbranded.youriguide.com/240_pemberton_rd_kelowna_bc/","iGuide","10277377","House",NULL,"2291 sqft",NULL,1390699,NULL,NULL,"RE/MAX Kelowna","100 - 1553 Harvey Avenue|Kelowna, British Columbia V1Y6G1",47837,"Firm",7175000,NULL,NULL,NULL,NULL,"Single Family","British Columbia","49.886983","-119.39034","V1X3H4"
2,"3841 Glenview Road,|West Kelowna, British Columbia V4T1C8",5,3,"Adrienne Louie",250,8635190,810000,"VideoTourWebsite",2,"https://unbranded.youriguide.com/3841_glenview_rd_west_kelowna_bc/","iGuide","10277396","House",1,"2694 sqft",NULL,1502535,NULL,NULL,"Royal LePage Kelowna","#11 - 2475 Dobbin Road|West Kelowna, British Columbia V4T2E9",47748,"Firm",7682161,NULL,NULL,"Carport (1)",7,"Single Family","British Columbia","49.824195","-119.651921","V4T1C8"
317,"10335 Long Road,|Lake Country, British Columbia V4V1N7",5,3,"Sukhjit Parmar",250,3178178,1335000,"VideoTourWebsite",2,"https://my.matterport.com/show/?m=DA3P3gVF8eC","Matterport","10277405","House",1,"3020 sqft",NULL,1561319,NULL,"Personal Real Estate Corporation","Sutton - Hymark Realty","#138-1876 Cooper Road|Kelowna, British Columbia V1Y9N6",47805,"Firm",7629979,NULL,NULL,NULL,NULL,"Single Family","British Columbia","50.031592","-119.435686","V4V1N7"
268,"1502 30 Avenue,|Vernon, British Columbia V1T5C3",4,2,"Justin Love",250,3071021,669900,"VideoTourWebsite",2,"https://youriguide.com/1502_30th_ave_vernon_bc/","iGuide","10277411","House",2,"2133 sqft",NULL,1886347,NULL,NULL,"Value Plus 3% Real Estate Inc.","#102 - 4313 - 27th Street|Vernon, British Columbia V1T4Y5",270566,"Firm",3081888,NULL,NULL,NULL,NULL,"Single Family","British Columbia","50.263584","-119.251635","V1T5C3"
3,"7372 Fintry Delta Road,|Kelowna, British Columbia V1Z3V2",4,2,"Tina Kelly",250,3209387,859000,"VideoTourWebsite",2,"https://my.matterport.com/show/?m=jJQ2Gsgzj77","Matterport","10277420","House",2,"2144 sqft",NULL,2144338,NULL,NULL,"eXp Realty (Kelowna)","1631 Dickson Ave, Suite 1100|Kelowna, British Columbia V1Y0B5",284212,"Firm",8176506,NULL,NULL,"Attached Garage (2)",6,"Single Family","British Columbia","50.133963","-119.501264","V1Z3V2"
